"filename", "language", "Markdown", "JSON", "JavaScript", "HTML", "PostCSS", "XML", "JavaScript JSX", "MS SQL", "comment", "blank", "total"
"d:\TotNghiep_ptud\Project\NgoaiThat-AI\frontend\public\vite.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\TotNghiep_ptud\Project\NgoaiThat-AI\frontend\src\App.css", "PostCSS", 0, 0, 0, 0, 140, 0, 0, 0, 0, 20, 160
"d:\TotNghiep_ptud\Project\NgoaiThat-AI\frontend\src\App.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 674, 0, 1, 41, 716
"d:\TotNghiep_ptud\Project\NgoaiThat-AI\frontend\src\api\admin.js", "JavaScript", 0, 0, 217, 0, 0, 0, 0, 0, 20, 36, 273
"d:\TotNghiep_ptud\Project\NgoaiThat-AI\frontend\src\api\auth.js", "JavaScript", 0, 0, 43, 0, 0, 0, 0, 0, 0, 11, 54
"d:\TotNghiep_ptud\Project\NgoaiThat-AI\frontend\src\api\wizard.js", "JavaScript", 0, 0, 56, 0, 0, 0, 0, 0, 3, 13, 72
"d:\TotNghiep_ptud\Project\NgoaiThat-AI\frontend\src\assets\react.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\TotNghiep_ptud\Project\NgoaiThat-AI\frontend\src\components\AdminDashboard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 348, 0, 3, 19, 370
"d:\TotNghiep_ptud\Project\NgoaiThat-AI\frontend\src\components\AdminDashboardPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 272, 0, 3, 18, 293
"d:\TotNghiep_ptud\Project\NgoaiThat-AI\frontend\src\components\AdminLayout.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 101, 0, 2, 11, 114
"d:\TotNghiep_ptud\Project\NgoaiThat-AI\frontend\src\components\AdminLibraryManager.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 403, 0, 19, 29, 451
"d:\TotNghiep_ptud\Project\NgoaiThat-AI\frontend\src\components\AdminUserManagement.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 436, 0, 0, 31, 467
"d:\TotNghiep_ptud\Project\NgoaiThat-AI\frontend\src\components\HistoryViewer.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 143, 0, 0, 7, 150
"d:\TotNghiep_ptud\Project\NgoaiThat-AI\frontend\src\components\LoginPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 110, 0, 0, 14, 124
"d:\TotNghiep_ptud\Project\NgoaiThat-AI\frontend\src\components\ProfilePage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 247, 0, 0, 16, 263
"d:\TotNghiep_ptud\Project\NgoaiThat-AI\frontend\src\components\RegisterPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 150, 0, 0, 17, 167
"d:\TotNghiep_ptud\Project\NgoaiThat-AI\frontend\src\components\ResultStep.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 326, 0, 3, 28, 357
"d:\TotNghiep_ptud\Project\NgoaiThat-AI\frontend\src\components\SelectRequirementsStep.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 184, 0, 0, 11, 195
